"filename", "language", "JavaScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\gk725\Desktop\MERN\typing\src\components\Keyboard\Key.jsx", "JavaScript JSX", 5, 0, 0, 0, 5
"c:\Users\gk725\Desktop\MERN\typing\src\components\LiveStats.jsx", "JavaScript JSX", 1, 0, 0, 0, 1
"c:\Users\gk725\Desktop\MERN\typing\src\components\Test.css", "CSS", 0, 28, 0, 0, 28
"c:\Users\gk725\Desktop\MERN\typing\src\components\TestResult.jsx", "JavaScript JSX", 26, 0, 0, 0, 26
"c:\Users\gk725\Desktop\MERN\typing\src\components\Text\Word.jsx", "JavaScript JSX", -1, 0, -14, -2, -17
"c:\Users\gk725\Desktop\MERN\typing\src\components\context\TestContextProvider.jsx", "JavaScript JSX", -8, 0, 0, -3, -11
"Total", "-", 23, 28, -14, -5, 32
