"filename", "language", "JavaScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\gk725\Desktop\MERN\typing\src\App.jsx", "JavaScript JSX", 2, 0, -1, 0, 1
"c:\Users\gk725\Desktop\MERN\typing\src\components\Fadable\Fadable.css", "CSS", 0, 7, 0, 1, 8
"c:\Users\gk725\Desktop\MERN\typing\src\components\Fadable\Fadable.jsx", "JavaScript JSX", 13, 0, 0, 2, 15
"c:\Users\gk725\Desktop\MERN\typing\src\components\Test.css", "CSS", 0, 4, 0, 0, 4
"c:\Users\gk725\Desktop\MERN\typing\src\components\Test.jsx", "JavaScript JSX", -2, 0, 0, 1, -1
"c:\Users\gk725\Desktop\MERN\typing\src\components\TestMode.jsx", "JavaScript JSX", 0, 0, 0, 1, 1
"c:\Users\gk725\Desktop\MERN\typing\src\components\TestResult.jsx", "JavaScript JSX", -2, 0, 2, 3, 3
"c:\Users\gk725\Desktop\MERN\typing\src\components\Text\Text.css", "CSS", 0, -3, 0, 1, -2
"c:\Users\gk725\Desktop\MERN\typing\src\components\TwoYAxisChart.jsx", "JavaScript JSX", 10, 0, 1, 1, 12
"c:\Users\gk725\Desktop\MERN\typing\src\components\context\TestContextProvider.jsx", "JavaScript JSX", 6, 0, 0, 1, 7
"c:\Users\gk725\Desktop\MERN\typing\src\main.jsx", "JavaScript JSX", 5, 0, 0, -1, 4
"Total", "-", 32, 8, 2, 10, 52
