"filename", "language", "JavaScript JSX", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\gk725\Desktop\MERN\typing\src\components\Test.jsx", "JavaScript JSX", 31, 0, 0, 0, 0, 31
"c:\Users\gk725\Desktop\MERN\typing\src\components\TestMode.css", "CSS", 0, 7, 0, -2, 0, 5
"c:\Users\gk725\Desktop\MERN\typing\src\components\TestMode.jsx", "JavaScript JSX", -2, 0, 0, 0, 0, -2
"c:\Users\gk725\Desktop\MERN\typing\src\components\Text\TestContent.jsx", "JavaScript JSX", 42, 0, 0, 0, 8, 50
"c:\Users\gk725\Desktop\MERN\typing\src\components\Text\Text.css", "CSS", 0, 4, 0, 0, 0, 4
"c:\Users\gk725\Desktop\MERN\typing\src\components\Text\Text.jsx", "JavaScript JSX", -8, 0, 0, 1, -4, -11
"c:\Users\gk725\Desktop\MERN\typing\src\components\config.js", "JavaScript", 0, 0, 1002, 0, 1, 1003
"c:\Users\gk725\Desktop\MERN\typing\src\components\context\TestContextProvider.jsx", "JavaScript JSX", 7, 0, 0, 0, 1, 8
"Total", "-", 70, 11, 1002, -1, 6, 1088
